name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated
open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,dkhamsing,2017,2017,292,1,2015-01-26T23:32:34Z
ops-books,https://github.com/stack72/ops-books,stack72,407,407,34,4,2015-04-07T16:01:14Z
papers,https://github.com/NicolasT/papers,NicolasT,8,8,0,0,2014-08-01T15:35:14Z
papers-we-love,https://github.com/papers-we-love/papers-we-love,papers-we-love,13953,13953,1354,14,2013-12-15T14:31:41Z
pattern_classification,https://github.com/rasbt/pattern_classification,rasbt,1238,1238,287,0,2014-03-30T05:34:34Z
php-must-watch,https://github.com/phptodayorg/php-must-watch,phptodayorg,1685,1685,123,1,2015-02-25T03:18:02Z
PlacesToPostYourStartup,https://github.com/mmccaff/PlacesToPostYourStartup,mmccaff,735,735,91,0,2014-02-16T21:37:43Z
post-mortems,https://github.com/danluu/post-mortems,danluu,1491,1491,42,10,2015-08-03T00:20:15Z
programmers-proverbs,https://github.com/AntJanus/programmers-proverbs,AntJanus,460,460,44,12,2014-04-18T13:01:33Z
programming-talks,https://github.com/hellerve/programming-talks,hellerve,366,366,43,0,2015-01-18T20:29:42Z
Projects,https://github.com/karan/Projects,karan,7946,7946,4493,10,2013-07-04T13:37:27Z
pycrumbs,https://github.com/kirang89/pycrumbs,kirang89,2045,2045,544,4,2013-06-30T15:01:34Z
py-must-watch,https://github.com/s16h/py-must-watch,s16h,1911,1911,159,19,2014-07-11T12:56:33Z
python-github-projects,https://github.com/checkcheckzz/python-github-projects,checkcheckzz,116,116,13,0,2014-05-16T23:57:07Z
pythonidae,https://github.com/svaksha/pythonidae,svaksha,228,228,43,0,2014-04-12T18:21:54Z
python-must-watch,https://github.com/primalpop/python-must-watch,primalpop,6,6,0,0,2014-07-18T14:39:31Z
python_reference,https://github.com/rasbt/python_reference,rasbt,1309,1309,198,0,2013-10-29T22:04:12Z
Qix,https://github.com/ty4z2008/Qix,ty4z2008,1474,1474,630,6,2014-04-20T11:03:15Z
