name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated,last_push
cscs,https://github.com/SalGnt/cscs,SalGnt,58,999,83,7,2015-10-11T23:06:49Z,2015-09-13T21:26:07Z
css-resources,https://github.com/hr-14-15/css-resources,hr-14-15,15,6,2,0,2015-09-23T01:11:07Z,2014-06-30T14:53:39Z
curated-list-espresso-sugar-plugins,https://github.com/GioSensation/curated-list-espresso-sugar-plugins,GioSensation,3,6,0,0,2015-04-08T23:38:11Z,2014-08-20T18:56:46Z
Curated-List-of-Awesomeness,https://github.com/JayBizzle/Curated-List-of-Awesomeness,JayBizzle,2,9,0,0,2015-08-18T02:01:58Z,2014-08-15T09:34:28Z
curated-programming-resources,https://github.com/Michael0x2a/curated-programming-resources,Michael0x2a,26,192,36,3,2015-10-11T02:05:04Z,2015-09-19T18:51:54Z
digest.cyber.fund,https://github.com/cyberFund/cyberDigest,cyberFund,18,22,6,1,2015-08-26T20:36:18Z,2015-04-26T00:49:04Z
dad-jokes,https://github.com/wesbos/dad-jokes,wesbos,5,39,3,0,2015-09-26T01:19:13Z,2014-08-19T15:09:34Z
awesome-lint,https://github.com/CarameloMartins/daemon,caramelomartins,4,6,1,0,2015-08-26T00:10:33Z,2015-08-26T00:08:30Z
datajournalists-toolbox,https://github.com/basilesimon/datajournalists-toolbox,basilesimon,3,20,3,0,2015-10-10T22:25:46Z,2015-05-14T13:28:54Z
data-science-blogs,https://github.com/rushter/data-science-blogs,rushter,181,2153,191,1,2015-10-11T20:38:11Z,2015-10-11T13:57:46Z
go,https://github.com/datasciencemasters/go,datasciencemasters,653,3876,2341,24,2015-10-11T22:41:54Z,2015-10-03T13:52:41Z
debugging-stories,https://github.com/danluu/debugging-stories,danluu,109,1419,63,7,2015-10-11T22:08:01Z,2015-10-05T04:55:06Z
Developer-Conferences,https://github.com/MurtzaM/Developer-Conferences,MurtzaM,28,76,15,5,2015-10-11T20:46:29Z,2015-09-09T20:38:40Z
devopsbookmarks.com,https://github.com/devopsbookmarks/devopsbookmarks.com,devopsbookmarks,26,276,91,17,2015-10-06T05:53:35Z,2015-09-07T08:03:22Z
devops_resources,https://github.com/dustinmm80/devops_resources,dustinmm80,8,23,6,0,2015-10-03T09:02:18Z,2015-06-01T15:00:46Z
dev-resource,https://github.com/Ibrahim-Islam/dev-resource,Ibrahim-Islam,5,14,3,0,2015-08-21T22:37:18Z,2015-10-01T11:56:35Z
discount-for-student-dev,https://github.com/najela/discount-for-student-dev,najela,23,190,23,0,2015-10-11T12:25:57Z,2015-09-16T09:34:45Z
django-must-watch,https://github.com/rosarior/django-must-watch,rosarior,48,503,38,0,2015-10-11T10:12:51Z,2015-08-10T23:15:11Z
awesome-edtech-tools,https://github.com/hkalant/EducationalToolsResources,hkalant,2,9,1,0,2015-09-04T10:50:53Z,2015-09-04T15:12:27Z
list,https://github.com/ember-links/list,ember-links,14,130,11,0,2015-10-07T23:03:19Z,2015-07-22T12:07:28Z
erlang-bookmarks,https://github.com/0xAX/erlang-bookmarks,0xAX,126,822,159,0,2015-10-10T03:34:05Z,2015-08-10T07:27:26Z
erlang-watchlist,https://github.com/gabrielelana/erlang-watchlist,gabrielelana,3,4,0,1,2015-10-07T07:48:40Z,2015-02-10T07:08:00Z
ES6-Learning,https://github.com/ericdouglas/ES6-Learning,ericdouglas,124,1678,158,1,2015-10-11T21:06:00Z,2015-07-16T15:46:09Z
es6-tools,https://github.com/addyosmani/es6-tools,addyosmani,180,2481,128,10,2015-10-11T23:48:32Z,2015-10-11T01:57:31Z
essential-javascript-links,https://github.com/ericelliott/essential-javascript-links,ericelliott,258,2861,227,3,2015-10-11T20:36:59Z,2015-10-07T19:23:59Z
Facets,https://github.com/O-I/Facets,O-I,1,5,0,0,2015-08-19T11:25:03Z,2015-09-14T03:52:40Z
fks,https://github.com/JacksonTian/fks,JacksonTian,805,4955,1911,0,2015-10-11T16:25:16Z,2015-08-28T13:25:31Z
flat-file-cms,https://github.com/ahadb/flat-file-cms,ahadb,26,157,36,11,2015-10-09T16:44:57Z,2015-09-28T17:01:24Z
free-for-dev,https://github.com/ripienaar/free-for-dev,ripienaar,767,11848,1067,32,2015-10-11T23:40:45Z,2015-10-11T08:37:17Z
free-programming-books,https://github.com/vhf/free-programming-books,vhf,2553,43776,9982,28,2015-10-11T22:34:50Z,2015-10-09T21:21:51Z
free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,1406,7675,3101,22,2015-10-11T23:54:07Z,2015-10-09T09:24:32Z
MOOC,https://github.com/fffaraz/free-programming-courses,fffaraz,5,28,11,0,2015-10-09T10:32:48Z,2015-05-21T01:22:44Z
free-software-testing-books,https://github.com/ligurio/free-software-testing-books,ligurio,63,335,97,0,2015-10-10T16:02:25Z,2015-10-04T20:42:28Z
Fresh-Node.js-Library-Collection,https://github.com/selfrefactor/Fresh-Node.js-Library-Collection,selfrefactor,1,13,0,0,2015-09-23T12:36:37Z,2015-09-22T21:43:12Z
frontdesk,https://github.com/miripiruni/frontdesk,miripiruni,143,1397,225,2,2015-10-11T17:44:33Z,2015-10-11T04:35:41Z
Front-end-Developer-Interview-Questions,https://github.com/darcyclarke/Front-end-Developer-Interview-Questions,h5bp,1469,18057,3121,18,2015-10-11T19:06:46Z,2015-10-10T07:56:29Z
Front-end-Web-Development-Interview-Question,https://github.com/paddingme/Front-end-Web-Development-Interview-Question,paddingme,59,358,123,3,2015-10-11T09:44:53Z,2015-09-14T09:43:58Z
front-end-stuff,https://github.com/somecallmejosh/front-end-links,somecallmejosh,3,6,1,0,2015-10-03T11:12:50Z,2015-05-09T03:35:48Z
frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,dypsilon,1566,16601,2837,71,2015-10-11T21:23:57Z,2015-09-15T18:38:40Z
frontend-resources,https://github.com/JonathanZWhite/frontend-resources,JonathanZWhite,7,29,13,0,2015-10-11T16:03:30Z,2015-05-26T09:18:54Z
frontend-resources,https://github.com/zedix/frontend-resources,zedix,2,6,0,0,2014-10-10T05:15:01Z,2014-09-08T15:37:18Z
frontend-stuff,https://github.com/moklick/frontend-stuff,moklick,430,7147,572,2,2015-10-11T14:59:33Z,2015-10-07T17:19:18Z
frontend-tools,https://github.com/codylindley/frontend-tools,codylindley,301,2272,537,13,2015-10-10T09:11:05Z,2015-07-15T15:47:27Z
games,https://github.com/leereilly/games,leereilly,219,1876,361,4,2015-10-11T03:42:57Z,2015-10-10T06:25:28Z
github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,tiimgreen,916,17284,1855,6,2015-10-11T20:59:42Z,2015-10-02T18:01:10Z
